Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stockholders_Equity,Stockholders_Equity_Growth,Cash_And_Equivalents,Cash_And_Equivalents_Growth,Total_Assets,Total_Assets_Growth,Working_Capital,Working_Capital_Growth,Total_Debt,Total_Debt_Growth
2024-12-05,243.12691898237586,243.6749612569442,241.27349790971317,242.18026733398438,40033900,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-06,242.0507319698173,243.7646488451358,241.2236661935451,241.98097229003906,36870600,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-09,240.97455722335047,246.36542364679892,240.89483838917155,245.8771514892578,44649200,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-10,246.0166626912396,247.33200068563022,244.47214254503118,246.8935546875,36914800,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-11,247.0828737526952,249.91282389632013,245.38887516358946,245.61807250976562,45205800,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-12,246.01666340683192,247.8601253939288,244.81093690846672,247.0828857421875,32777500,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-13,246.9433725816478,248.40815863747187,245.36895982515324,247.2522735595703,33155300,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-16,247.11276354004562,250.49077111704125,246.7739547032778,250.15196228027344,51694800,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-17,249.1953766416157,252.93211150871377,248.89643481128522,252.58334350585938,51356400,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-18,251.26802371656945,253.38051965426092,246.86366065893745,247.1725616455078,56774100,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-19,246.6245097734382,251.1085917693189,246.21595643132494,248.90640258789062,60882300,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-20,247.16260139536695,254.09798847685343,244.82092317346877,253.5897979736328,147495300,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-23,253.8688035675433,254.74568039470608,252.55346551957817,254.36703491210938,40858800,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-24,254.58626151312842,257.2966260773909,254.386956808638,257.28668212890625,23234700,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-26,257.27667867815336,259.1799258751944,256.7186620602343,258.1037292480469,27237100,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-27,256.917949151404,257.78489719249416,252.16483330495137,254.68588256835938,42355300,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
2024-12-30,251.33776924994547,252.60328106925755,249.86300878941353,251.30787658691406,35557500,0.0,0.0,56950000000.0,-8.36095645737457,29943000000.0,-0.07341898882029034,364980000000.0,3.5160515396374756,-23405000000.0,-1243.5706084959816,106629000000.0,-4.01393489845888
