Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stockholders_Equity,Stockholders_Equity_Growth,Cash_And_Equivalents,Cash_And_Equivalents_Growth,Total_Assets,Total_Assets_Growth,Working_Capital,Working_Capital_Growth,Total_Debt,Total_Debt_Growth
2023-07-31,321.7067592345927,323.66469029091354,315.64412776599033,316.64794921875,25799600,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-01,315.5944209509183,322.15398840213874,312.7320620390697,320.73272705078125,22817900,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-02,316.05161005931467,316.4392350831681,308.7466375342772,312.38421630859375,20461100,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-03,308.03111235688823,314.01424840839314,308.03111235688823,311.2711486816406,15180200,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-04,313.0302353033232,316.4591093262651,308.29942039197095,308.826171875,17612800,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-07,311.31092933558955,315.12739897982857,308.5578810186809,314.6205139160156,16236500,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-08,312.4737139507315,315.94235188743255,308.2099896220552,310.7245178222656,15183500,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-09,310.9630475438108,311.7084524339226,300.9945006932728,303.34002685546875,19955800,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-10,306.0532625291699,310.4262977842557,302.0081920277115,303.8667297363281,14358900,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-11,300.71613412801133,302.85295482173194,298.5196531554508,299.7918395996094,14046300,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-14,299.13595519780057,304.33389242312825,296.4226705467051,304.31402587890625,15641900,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-15,304.2642750954109,305.34759295565794,298.191695686344,300.0999450683594,11623600,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-16,298.36073244619973,299.23531534249935,292.4769900392472,292.4869384765625,18547700,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-17,291.2545140049859,294.2361334501716,283.20416576746555,283.3432922363281,23950100,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-18,277.3204111700281,283.93960968649634,272.6989072996462,281.5145568847656,35347900,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-21,281.7133165859842,288.720109168506,280.1231137051673,288.123779296875,20181500,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-22,290.75757498743184,291.1054366525672,284.9931229074211,285.8379211425781,12980200,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
